responsename,releasedate,metacritic,steamspyowners,steamspyownersvariance,steamspyplayersestimate,steamspyplayersvariance,achievementcount,categorysingleplayer,genreisindie,genreisaction,genreisadventure,genreiscasual,genreisstrategy,genreisrpg,genreissimulation,genreissports,genreisracing,pricecurrency,pricefinal
Counter-Strike,Nov 1 2000,88,13033334,92789,9140731,78136,0,False,False,True,False,False,False,False,False,False,False,USD,9.99
Team Fortress Classic,Apr 1 1999,0,5399140,60368,753627,22699,0,False,False,True,False,False,False,False,False,False,False,USD,4.99
Day of Defeat,May 1 2003,79,7621102,71499,1709740,34145,0,False,False,True,False,False,False,False,False,False,False,USD,4.99
Deathmatch Classic,Jun 1 2001,0,7498965,70936,789676,23235,0,False,False,True,False,False,False,False,False,False,False,USD,4.99
Half-Life: Opposing Force,Nov 1 1999,0,5399499,60370,705741,21968,0,True,False,True,False,False,False,False,False,False,False,USD,4.99
Ricochet,Nov 1 2000,0,7488563,70888,843481,24011,0,False,False,True,False,False,False,False,False,False,False,USD,4.99
Half-Life,Nov 8 1998,96,5927504,63206,2268772,39303,0,True,False,True,False,False,False,False,False,False,False,USD,9.99
Counter-Strike: Condition Zero,Mar 1 2004,65,10489261,83543,4127910,52878,0,True,False,True,False,False,False,False,False,False,False,USD,9.99
Counter-Strike: Condition Zero,Mar 1 2004,65,10489261,83543,4127910,52878,0,True,False,True,False,False,False,False,False,False,False,USD,9.99
Half-Life: Blue Shift,Jun 1 2001,71,5368650,60199,662517,21286,0,True,False,True,False,False,False,False,False,False,False,USD,4.99
Half-Life 2,Nov 16 2004,96,9901173,81234,5695963,61979,33,True,False,True,False,False,False,False,False,False,False,USD,9.99
Counter-Strike: Source,Nov 1 2004,88,15433570,100626,11472993,87251,147,False,False,True,False,False,False,False,False,False,False,USD,19.99
Half-Life: Source,Jun 1 2004,0,2983660,45027,695697,21811,0,True,False,True,False,False,False,False,False,False,False,USD,9.99
Day of Defeat: Source,Jul 12 2010,80,6400269,65635,2895778,44364,54,False,False,True,False,False,False,False,False,False,False,USD,9.99
Half-Life 2: Deathmatch,Nov 1 2004,0,14001822,96041,3598829,49409,0,False,False,True,False,False,False,False,False,False,False,USD,4.99
Half-Life 2: Lost Coast,Oct 27 2005,0,14844765,98771,2885376,44285,0,True,False,True,False,False,False,False,False,False,False,,0.0
Half-Life Deathmatch: Source,May 1 2006,0,6796273,67597,388292,16301,0,False,False,True,False,False,False,False,False,False,False,USD,9.99
Half-Life 2: Episode One,Jun 1 2006,87,6298399,65120,2478611,41068,13,True,False,True,False,False,False,False,False,False,False,USD,7.99
Portal,Oct 10 2007,90,9795716,80813,6864247,67928,15,True,False,True,False,False,False,False,False,False,False,USD,9.99
Half-Life 2: Episode Two,Oct 10 2007,90,5735062,62188,2240435,39058,22,True,False,True,False,False,False,False,False,False,False,USD,7.99
Team Fortress 2,Oct 10 2007,92,37878812,152480,37878812,152480,520,False,False,True,False,False,False,False,False,False,False,,0.0
Left 4 Dead,Nov 17 2008,89,4473517,55021,3107949,45947,73,True,False,True,False,False,False,False,False,False,False,USD,19.99
